LATITUDE,LONGITUDE,BOROUGH,Permit Type,Job Type,Filing Date,Issuance Date,Permit Status,Job #,Owner's Business Name,Permittee's Business Name,Block,Lot,Delay
40.764225,-73.982391,MANHATTAN,EQ,DM,2022-05-10,2022-05-20,ISSUED,123906933,OWNER DEED: 1710 BWAY LLC,BREEZE NATIONAL INC,1026.0,21.0,10.0
40.764214,-73.77835,QUEENS,EW,A2,2022-05-10,2022-06-02,ISSUED,440701527,,HARVEST POWER LLC,6212.0,4.0,23.0
40.880456,-73.907757,BRONX,AL,A1,2022-05-10,2022-06-14,ISSUED,220132719,,R'POL CONSTRUCTION INC,5711.0,30.0,35.0
40.798077,-73.971937,MANHATTAN,AL,A1,2022-05-10,2022-05-13,ISSUED,123667102,,REBUILD WORKSHOP LLC,1889.0,113.0,3.0
40.738442,-73.854876,QUEENS,FO,NB,2022-05-10,2022-06-08,ISSUED,421616905,58-12 LLC,L&L CONSTRUCTION DEVELOP,1957.0,12.0,29.0
40.867135,-73.900002,BRONX,DM,DM,2022-05-10,2022-07-19,ISSUED,220739850,PARAMOUNT HOMES MANAGEMENT INC,FRSS GROUP CORP,3215.0,44.0,70.0
40.68683,-73.992814,BROOKLYN,EW,A2,2022-05-10,2022-06-07,ISSUED,322004415,15-19 WYCKOFF PARTNERS LLC,NYC BEST REMODELING INC,384.0,72.0,28.0
40.706731,-73.806271,QUEENS,EW,A2,1999-02-10,1999-03-03,ISSUED,400919510,SOMAR DENTAL STUDIOS,SYSTEMATIC CONTROL CORP.,9706.0,88.0,21.0
40.748806,-73.937263,QUEENS,EQ,NB,2008-06-26,2008-06-30,ISSUED,402284675,DBA PAMENAR REALTY,CAPITAL ONE CONSTRUCTION,239.0,7.0,4.0
40.748806,-73.937263,QUEENS,NB,NB,2008-06-26,2008-06-30,ISSUED,402284675,DBA PAMENAR REALTY,CAPITAL ONE CONSTRUCTION,239.0,7.0,4.0
40.748806,-73.937263,QUEENS,AL,A3,2008-03-25,2008-06-30,ISSUED,410017887,Pamenar Realty,CAPITAL ONE CONSTRUCTION,239.0,7.0,97.0
40.748806,-73.937263,QUEENS,EQ,NB,2008-11-25,2008-12-03,ISSUED,402284675,DBA PAMENAR REALTY,CAPITAL ONE CONSTR. INC,239.0,7.0,8.0
40.748806,-73.937263,QUEENS,NB,NB,2008-11-25,2008-12-03,ISSUED,402284675,DBA PAMENAR REALTY,CAPITAL ONE CONSTR. INC,239.0,7.0,8.0
40.706731,-73.806271,QUEENS,EW,A2,2013-09-09,2013-09-19,ISSUED,420866904,"150-15 HILLSIDE,LLC",MOREAIR MECHANICAL SERVIC,9706.0,88.0,10.0
40.748806,-73.937263,QUEENS,AL,A3,2017-03-17,2017-03-28,ISSUED,421316409,ZAND DEVELOPMENT LLC,METROCITY CONSTRUCTION,239.0,7.0,11.0
40.855664,-73.896173,BRONX,EW,A2,2022-03-29,2022-05-10,ISSUED,240289326,"TWIN PARKS OWNER, LLC",APEX BUILDING COMPANY INC,3143.0,155.0,42.0
40.636499,-74.003596,BROOKLYN,AL,A1,2022-04-01,2022-05-10,ISSUED,340739507,LCD HOLDINGS NY LLC,SPLEN CONSTRUCTION INC,5673.0,79.0,39.0
40.855504,-73.863827,BRONX,EQ,A3,2022-04-11,2022-05-10,ISSUED,240317625,MSR CONSTRUCTION INC,MSR CONSTRUCTION CORP,4322.0,18.0,29.0
40.647173,-73.973431,BROOKLYN,EW,A2,2022-04-18,2022-05-10,ISSUED,340841986,,CENTURION SOLAR ENERGY,5329.0,15.0,22.0
40.631662,-74.028656,BROOKLYN,EW,A2,2022-04-20,2022-05-10,ISSUED,340618512,NARROWS MANAGEMENT,EKG PLUMBING & HEATING LL,5939.0,37.0,20.0
40.762635,-73.974222,MANHATTAN,PL,A2,2022-04-28,2022-05-10,ISSUED,123759557,"CROWN 730 INVEST, LLC",DEMAR MECHANICAL INC,1272.0,7503.0,12.0
40.762635,-73.974222,MANHATTAN,PL,A2,2022-04-28,2022-05-10,ISSUED,123836180,"CROWN 730 INVEST, LLC",DEMAR MECHANICAL INC,1272.0,7503.0,12.0
40.831448,-73.920162,BRONX,EW,A2,2022-05-03,2022-05-10,ISSUED,240276759,1075 CONCOURSE TENANTS CORP.,ALPINE CONSTRUCTION SVC,2472.0,11.0,7.0
40.738585,-73.99384,MANHATTAN,EW,A2,2022-05-03,2022-05-10,ISSUED,123395977,50 WEST REALTY CO. C/O ARGO REAL,ALPINE CONSTRUCTION SVC,818.0,78.0,7.0
40.831084,-73.891496,BRONX,EW,A2,2022-05-04,2022-05-10,ISSUED,240194936,1319-25 SOUTHERN BLVD LLC,RRP PLUMBING CORP,2976.0,98.0,6.0
40.831084,-73.891496,BRONX,EW,A2,2022-05-04,2022-05-10,ISSUED,240194918,1319-25 SOUTHERN BLVD LLC,RRP PLUMBING CORP,2976.0,98.0,6.0
40.831084,-73.891496,BRONX,PL,NB,2022-05-04,2022-05-10,ISSUED,220152803,1319-25 SOUTHERN BLVD LLC,VAND MECHANICAL INC,2976.0,98.0,6.0
40.678532,-73.832801,QUEENS,EW,A2,2022-05-04,2022-05-10,ISSUED,421409407,,HAR JI PLUMBING& HEAT COR,11481.0,41.0,6.0
40.831084,-73.891496,BRONX,EW,A2,2022-05-04,2022-05-10,ISSUED,240194918,1319-25 SOUTHERN BLVD LLC,RRP PLUMBING CORP,2976.0,98.0,6.0
40.685254,-73.986731,BROOKLYN,EW,A2,2022-05-11,2022-06-08,ISSUED,340661590,,RIGID INTERIOR CONSTR LLC,386.0,32.0,28.0
40.634813,-73.923744,BROOKLYN,EW,A2,2022-05-11,2022-07-13,ISSUED,321263084,,NEGLIACCIO,7738.0,50.0,63.0
40.853245,-73.861099,BRONX,FO,NB,2022-05-11,2022-07-15,ISSUED,210178207,EAGLE CONSTRUCTION,LOD CONSTRUCTION LLC,4298.0,46.0,65.0
40.6415,-74.075734,STATEN ISLAND,EQ,A3,2022-05-11,2022-05-19,ISSUED,540129859,"5 BAY STREET PHASE 1, LLC",DHS FRACO LLC,1.0,58.0,8.0
40.766727,-73.917091,QUEENS,EQ,NB,2022-05-11,2022-05-23,ISSUED,420659709,35TH STREET REALTY LLC,NEPTUNE MECHANICAL LLC,629.0,15.0,12.0
40.636513,-73.943944,BROOKLYN,NB,NB,2022-05-11,2022-05-18,ISSUED,321588215,3410 FARRAGUT LLC,"M & Y DEVELOPERS, INC",5009.0,40.0,7.0
40.676977,-73.888458,BROOKLYN,EQ,DM,2022-05-11,2022-05-17,ISSUED,322103745,2864 ATLANTIC REALTY,DESIGN N SAFETY INC,3965.0,11.0,6.0
40.645846,-73.95194,BROOKLYN,DM,DM,2022-05-11,2022-05-18,ISSUED,322032386,GREEN RESIDENCELLC LLC,BEST DEMO INC,5138.0,54.0,7.0
40.633292,-73.941886,BROOKLYN,DM,DM,2022-05-11,2022-05-18,ISSUED,322104227,STY DEVELOPERS,DESIGN N SAFETY INC,7564.0,26.0,7.0
40.678505,-73.989948,BROOKLYN,EQ,DM,2022-05-11,2022-05-26,ISSUED,322100711,PRESIDENT UNION LLC,CELTIC SERVICES NYC INC,445.0,11.0,15.0
40.678505,-73.989948,BROOKLYN,DM,DM,2022-05-11,2022-05-26,ISSUED,322100711,PRESIDENT UNION LLC,CELTIC SERVICES NYC INC,445.0,11.0,15.0
40.600258,-73.951584,BROOKLYN,DM,DM,2022-05-11,2022-06-13,ISSUED,320997999,2518 OCEAN AVENUE LLC,BEST DEMO INC,7324.0,31.0,33.0
40.600222,-73.951577,BROOKLYN,DM,DM,2022-05-11,2022-06-13,ISSUED,322094602,2518 OCEAN AVENUE LLC,BEST DEMO INC,7324.0,34.0,33.0
40.856172,-73.913083,BRONX,EW,A2,2022-03-30,2022-05-11,ISSUED,220682991,CUNY DEPT. OF DESIGN & CONSTRUCT,AKS INTERNATIONAL INC,3222.0,62.0,42.0
40.856172,-73.913083,BRONX,EW,A2,2022-03-30,2022-05-11,ISSUED,220682991,CUNY DEPT. OF DESIGN & CONSTRUCT,AKS INTERNATIONAL INC,3222.0,62.0,42.0
40.818565,-73.918118,BRONX,FO,NB,2022-04-08,2022-05-11,ISSUED,220586168,,PRECISION BUILDERS USA,2398.0,11.0,33.0
40.850592,-73.933043,MANHATTAN,EW,A2,2022-04-14,2022-05-11,ISSUED,121716278,NESTLE REALTY HOLDING CORP,INDEPENDENT TEMPERATURE,2165.0,69.0,27.0
40.674019,-73.952882,BROOKLYN,FO,NB,2022-04-20,2022-05-11,ISSUED,321384818,BELLINGHAM ESTATES 26,CORNERSTONE CONSTRUCTION,1233.0,7.0,21.0
40.689376,-73.983164,BROOKLYN,AL,A1,2022-04-26,2022-05-11,ISSUED,301691220,"J.W. MAYS, INC.",J.W. MAYS INC,160.0,7.0,15.0
40.68951,-73.982501,BROOKLYN,AL,A1,2022-04-27,2022-05-11,ISSUED,301691202,"J.W. MAYS, INC.",J.W. MAYS INC,160.0,18.0,14.0
40.682874,-73.972937,BROOKLYN,FO,NB,2022-04-28,2022-05-11,ISSUED,321590532,"PACIFIC PARK DEVELOPMENT, LLC",PLAZA CONSTRUCTION LLC,1120.0,19.0,13.0
40.644765,-73.960913,BROOKLYN,NB,NB,2022-05-03,2022-05-11,ISSUED,321837508,726 OCEAN HOLDINGS LLC,PARK PREMIUM ENTERPRISES,5123.0,39.0,8.0
40.595203,-73.963589,BROOKLYN,DM,DM,2022-03-22,2022-07-25,ISSUED,322094746,,NBJ CONTRACTING INC,7158.0,17.0,125.0
40.869351,-73.8659,BRONX,PL,A1,2022-04-14,2022-05-31,ISSUED,220577178,WILLIAMSBRIDGE-3067 REALTY LLC,5 BORO'S PLUMBING INC,4547.0,28.0,47.0
40.698127,-73.92871,BROOKLYN,AL,A1,2022-05-03,2022-07-13,ISSUED,320199076,JOSE RODRIGUEZ,HENRY BUILDERS INC,3217.0,6.0,71.0
40.679345,-73.996759,BROOKLYN,AL,A1,2022-05-03,2022-05-11,ISSUED,321591880,116 2 PLACE LLC,BNA SERVICES INC,463.0,7501.0,8.0
40.682874,-73.972937,BROOKLYN,FO,NB,2022-05-05,2022-05-11,ISSUED,321590532,"PACIFIC PARK DEVELOPMENT, LLC",PLAZA CONSTRUCTION LLC,1120.0,19.0,6.0
40.571144,-74.195327,STATEN ISLAND,FO,NB,2022-05-10,2022-05-11,ISSUED,510113315,NYC DDC,PRISMATIC DEVELOPMENT COR,5900.0,500.0,1.0
40.571144,-74.195327,STATEN ISLAND,NB,NB,2022-05-10,2022-05-11,ISSUED,510113315,NYC DDC,PRISMATIC DEVELOPMENT COR,5900.0,500.0,1.0
40.682482,-73.998861,BROOKLYN,AL,A1,2022-05-10,2022-05-11,ISSUED,321598589,,SUPERMAN CONTRACTING CORP,344.0,46.0,1.0
40.762635,-73.974222,MANHATTAN,AL,A1,2022-05-05,2022-05-16,ISSUED,121191325,"CROWN 730 INVEST,LLC",GILBANE/ANT YAPI JOINT,1272.0,39.0,11.0
40.756628,-73.986287,MANHATTAN,EW,A2,2022-05-10,2022-05-16,ISSUED,123856112,"JAMESTOWN OTS, L.P.",TISHMAN CONSTRUCTION CORP,995.0,1.0,6.0
40.728967,-73.990432,MANHATTAN,EW,A2,2020-06-24,2020-06-26,ISSUED,123856657,THE COOPER UNION,MANHATTAN BUSINESS INTERI,544.0,76.0,2.0
40.818423,-73.895386,BRONX,EQ,DM,2022-05-12,2022-05-17,ISSUED,220741464,HOUSING PRESERVATION & DEVELOPME,STATE CONTRACTING CORP NY,2711.0,91.0,5.0
40.790795,-73.83067,QUEENS,AL,A1,2022-05-12,2022-05-18,ISSUED,421608512,,MANHATTAN CONSTRUCTION &,4421.0,52.0,6.0
40.821766,-73.806152,BRONX,EW,A2,2020-06-18,2020-06-22,ISSUED,240240565,,CITY LINE INTERIORS INC,5519.0,169.0,4.0
40.720795,-73.961226,BROOKLYN,AL,A1,2022-05-12,2022-06-15,ISSUED,301361121,MMM Construction,MB CNSTRT & DSGN SVCES LL,2316.0,49.0,34.0
40.819549,-73.955485,MANHATTAN,EW,A2,2022-05-12,2022-05-18,ISSUED,140902432,BSREP UA 3333 BROADWAY LLC,TINDEL REPLACEMENT WINDOW,2001.0,9005.0,6.0
40.850145,-73.866846,BRONX,EQ,A2,2004-06-10,2004-06-15,ISSUED,200850668,"BELMONT REALTY, LLC",CJB_EEQUIPMENT CORP.,4257.0,150.0,5.0
40.850145,-73.866846,BRONX,EW,A2,2004-06-15,2004-06-25,ISSUED,200850668,"BELMONT REALTY, LLC",CJB EQUIPMENT CORP.,4257.0,150.0,10.0
40.705725,-73.859975,QUEENS,EW,A2,2006-07-31,2006-08-01,ISSUED,402424284,,"PHILIP TOSCANO, ARCHITECTS",3860.0,17.0,1.0
40.850145,-73.866846,BRONX,EQ,A2,2008-01-03,2008-01-07,ISSUED,200850668,"BELMONT REALTY, LLC",DIPIETRO CONSTRUCTION CORP,4257.0,150.0,4.0
40.622307,-73.953736,BROOKLYN,DM,DM,2014-09-24,2014-09-25,ISSUED,320933308,,MR DEMOLITION INC,7622.0,21.0,1.0
40.622307,-73.953736,BROOKLYN,FO,NB,2018-09-24,2018-10-01,ISSUED,321255752,,LOUIS PERL CONTRACTING LT,7622.0,21.0,7.0
